Generating SQLite file agent_space/remote-h100-exp0028/codegen/launch-profile.sqlite from agent_space/remote-h100-exp0028/codegen/launch-profile.nsys-rep
Processing [agent_space/remote-h100-exp0028/codegen/launch-profile.sqlite] with [/opt/nvidia/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_gpu_kern_gb_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),GridXYZ,BlockXYZ,Name
14.0,719966,200,3599.8,3632.0,3424,4096,153.7,4096    1    1, 128    1    1,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::FillFunctor<c10::BFloat16>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
4.7,241056,4,60264.0,60224.0,58784,61824,1454.8,   2   64    1, 384    1    1,nvjet_tst_256x128_64x4_1x2_h_bz_coopA_TNT
4.7,240320,2,120160.0,120160.0,119456,120864,995.6,   2   66    1, 384    1    1,nvjet_tst_256x128_64x4_1x2_h_bz_coopA_TNT
4.7,239488,2,119744.0,119744.0,119520,119968,316.8,   2   66    1, 384    1    1,nvjet_tst_168x128_64x5_1x2_h_bz_TNN
4.4,224832,6,37472.0,40080.0,31808,40384,4193.7,   4   21    1, 384    1    1,nvjet_tst_64x8_64x16_4x1_v_bz_TNT
4.3,218880,12,18240.0,18240.0,17312,19072,563.6,   2   64    1, 384    1    1,nvjet_tst_64x8_64x16_2x1_v_bz_splitK_TNT
4.2,213600,6,35600.0,33968.0,32704,40128,3422.3,   2   64    1, 384    1    1,nvjet_tst_64x8_64x16_2x1_v_bz_TNT
3.5,179776,6,29962.7,29920.0,29824,30208,135.3,  32    1    1, 384    1    1,kernel_cutlass_kernel_flash_attncuteflash_fwd_sm90FlashAttentionForwardSm90_object_at__tensor000o111012_tensor000o111012_tensor000o111012_tensor0000o1073741824214748364711101213_tensorptr_0
3.2,161760,8,20220.0,20176.0,20128,20384,106.0,8192    1    1, 512    1    1,"void at::native::roll_cuda_kernel<c10::BFloat16>(const T1 *, T1 *, long, long, long, long, long, long)"
2.6,135005,16,8437.8,2080.0,1920,37375,12472.2, 264    2    1, 512    1    1,"void at::native::<unnamed>::CatArrayBatchedCopy<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)4, (int)64, (int)64>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
2.3,116672,4,29168.0,29136.0,28864,29536,339.2,32768    1    1, 128    1    1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
2.2,112640,8,14080.0,14160.0,12672,15168,1023.6,8192    1    1, 128    1    1,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
2.1,109760,2,54880.0,54880.0,54784,54976,135.8,   8   32    1, 384    1    1,kernel_cutlass_kernel_flash_attncuteflash_fwd_sm90FlashAttentionForwardSm90_object_at__tensor0000o11101213_tensor0000o11101213_tensor0000o11101213_tensor0000o11101213_tensorptrf32_gmem_o__0
2.1,107744,8,13468.0,13008.0,12704,15200,944.2,8184    1    1, 128    1    1,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, bool, at::native::<unnamed>::CompareEqFunctor<c10::BFloat16>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
2.1,106688,4,26672.0,26688.0,26208,27104,388.9,32768    1    1, 128    1    1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1.9,98816,12,8234.7,8240.0,8096,8384,86.7,   1  512    1, 512    1    1,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(bool, bool) (instance 1)]>, unsigned int, bool, (int)4, (int)4>>(T3)"
1.9,96096,4,24024.0,24080.0,23488,24448,432.0,16384    1    1, 128    1    1,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1.7,89504,40,2237.6,2240.0,2208,2400,43.1,2048    1    1, 128    1    1,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::FillFunctor<c10::BFloat16>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
1.5,74848,6,12474.7,12432.0,12000,13184,431.9,16384    1    1, 128    1    1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1.3,66912,4,16728.0,16752.0,15744,17664,980.2,8192    1    1, 128    1    1,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::index_copy_kernel_impl<at::native::OpaqueType<(int)2>>(at::TensorIterator &, long, long, long)::[lambda(int) (instance 1)]>(long, T3)"
1.0,49952,4,12488.0,12512.0,12192,12736,247.0,8192    1    1, 128    1    1,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1.0,48704,2,24352.0,24352.0,24256,24448,135.8,16384    1    1, 128    1    1,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.9,46624,2,23312.0,23312.0,23104,23520,294.2,8192    1    1, 128    1    1,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase &, T2)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.8,41568,18,2309.3,2336.0,1760,2944,309.9,   1    1    1, 128    1    1,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.8,40864,2,20432.0,20432.0,19840,21024,837.2, 128    1   32, 128    1    1,"void gemv2T_kernel_val<int, int, float, float, float, float, (int)128, (int)16, (int)2, (int)2, (bool)0, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T13, T6, T6)"
0.7,36832,12,3069.3,3008.0,2368,3776,579.1,   8    1    1, 128    1    1,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
